,orig.ident,nCount_RNA,nFeature_RNA,RNA_snn_res.1,seurat_clusters,assign.ident,assign.score,Amp_batch,source,patient,assign.CIBERSORT,assign.curated,assign.level3_anno,assign.level1_anno
W690215_GSM3496322_AB2508_Tumo,0,6786.0,1442,12,12,Plasma,2.8827375079550275,37,1,24,Plasma,Plasma,Plasma,0
W684528_GSM3496307_AB2493_Tumo,0,2432.0,686,0,0,CD8Tex,3.0066744286892493,22,1,6,CD8Tex,CD8Tex,CD8Tex,0
WMC626531_GSM3496464_AB5016_Tu,0,4402.0,1550,10,10,TMKI67,3.9990709402858386,179,1,22,TMKI67,TMKI67,TMKI67,0
WMC0110369_GSM3496390_AB3283_T,0,1949.0,703,0,0,CD8Tex,3.0066744286892493,105,1,13,CD8Tex,CD8Tex,CD8Tex,0
W842456_GSM3496357_AB2912_Tumo,0,1057.0,523,8,8,CD8Tex,2.3728707457939557,72,1,28,CD8Tex,CD8Tex,CD8Tex,0
W464552_GSM3496288_AB1892_Tumo,0,3627.0,1547,5,5,Mono/Macro,3.5403363819401705,3,1,14,Mono/Macro,Mono/Macro,M1,0
WMC624761_GSM3496459_AB5011_Tu,0,2506.0,917,0,0,CD8Tex,3.0066744286892493,174,1,22,CD8Tex,CD8Tex,CD8Tex,0
W842554_GSM3496358_AB2913_Tumo,0,9668.0,1158,12,12,Plasma,2.8827375079550275,73,1,28,Plasma,Plasma,Plasma,0
W690681_GSM3496323_AB2509_Tumo,0,1739.0,751,1,1,CD8Tex,4.089338694095589,38,1,24,CD8Tex,CD8Tex,CD8Tex,0
W872057_GSM3496366_AB2989_Tumo,0,2379.0,787,3,3,CD4Tconv,1.0945560605446019,81,1,12,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC809658_GSM3496487_AB5493_PB,0,2622.0,860,4,4,Mono/Macro,5.045165456293893,202,0,21,Mono/Macro,Mono/Macro,Monocyte,0
WMC220169_GSM3496400_AB3940_Tu,0,3797.0,1139,4,4,Mono/Macro,5.045165456293893,115,1,20,Mono/Macro,Mono/Macro,Monocyte,0
WMC135353_GSM3496393_AB3719_Tu,0,1553.0,624,1,1,CD8Tex,4.089338694095589,108,1,15,CD8Tex,CD8Tex,CD8Tex,0
W702982_GSM3496336_AB2541_Tumo,0,1560.0,674,0,0,CD8Tex,3.0066744286892493,51,1,4,CD8Tex,CD8Tex,CD8Tex,0
W705841_GSM3496339_AB2549_Tumo,0,1705.0,542,2,2,B,4.4137903050582095,54,1,6,B,B,B,0
WMC0036598_GSM3496375_AB3091_T,0,1167.0,554,8,8,CD8Tex,2.3728707457939557,90,1,29,CD8Tex,CD8Tex,CD8Tex,0
WMC138049_GSM3496395_AB3726_Tu,0,1474.0,622,2,2,B,4.4137903050582095,110,1,16,B,B,B,0
W463671_GSM3496287_AB1891_Tumo,0,1758.0,726,4,4,Mono/Macro,5.045165456293893,2,1,14,Mono/Macro,Mono/Macro,Monocyte,0
WMC785074_GSM3496483_AB5429_PB,0,2706.0,684,0,0,CD8Tex,3.0066744286892493,198,0,9,CD8Tex,CD8Tex,CD8Tex,0
WMC293230_GSM3496431_AB4139_Tu,0,5657.0,958,12,12,Plasma,2.8827375079550275,146,1,17,Plasma,Plasma,Plasma,0
WMC287812_GSM3496417_AB4125_Tu,0,5290.0,1418,11,11,pDC,2.9395231999772227,132,1,25,pDC,DC,DC,0
W714048_GSM3496341_AB2570_Tumo,0,2999.0,785,4,4,Mono/Macro,5.045165456293893,56,1,4,Mono/Macro,Mono/Macro,Monocyte,0
WMC808843_GSM3496484_AB5490_PB,0,3253.0,931,4,4,Mono/Macro,5.045165456293893,199,0,21,Mono/Macro,Mono/Macro,Monocyte,0
WMC0037101_GSM3496376_AB3092_T,0,3398.0,1493,13,13,B,1.9443252866230427,91,1,29,B,pDC,pDC,0
W844951_GSM3496364_AB2919_Tumo,0,1810.0,736,1,1,CD8Tex,4.089338694095589,79,1,12,CD8Tex,CD8Tex,CD8Tex,0
W684525_GSM3496307_AB2493_Tumo,0,3491.0,1034,1,1,CD8Tex,4.089338694095589,22,1,6,CD8Tex,CD8Tex,CD8Tex,0
WMC289656_GSM3496421_AB4129_Tu,0,1947.0,599,3,3,CD4Tconv,1.0945560605446019,136,1,25,CD4Tconv,CD4Tconv,CD4Tnaive,0
W844839_GSM3496364_AB2919_Tumo,0,1293.0,561,10,10,TMKI67,3.9990709402858386,79,1,12,TMKI67,TMKI67,TMKI67,0
WMC0109959_GSM3496389_AB3282_T,0,2174.0,601,3,3,CD4Tconv,1.0945560605446019,104,1,13,CD4Tconv,CD4Tconv,CD4Tnaive,0
W685518_GSM3496310_AB2496_Tumo,0,1898.0,655,2,2,B,4.4137903050582095,25,1,6,B,B,B,0
W687736_GSM3496315_AB2501_Tumo,0,2647.0,891,2,2,B,4.4137903050582095,30,1,6,B,B,B,0
W839101_GSM3496349_AB2904_Tumo,0,1428.0,501,6,6,CD8Tex,3.0350785138802134,64,1,8,CD8Tex,CD8Tex,CD8Tex,0
WMC149378_GSM3496396_AB3755_Tu,0,12944.0,2925,17,17,Fibroblasts,0.911109777825356,111,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC221596_GSM3496404_AB3944_Tu,0,1300.0,505,9,9,TMKI67,2.1419943291597425,119,1,1,TMKI67,TMKI67,TMKI67,0
WMC0109680_GSM3496388_AB3281_T,0,1580.0,595,0,0,CD8Tex,3.0066744286892493,103,1,13,CD8Tex,CD8Tex,CD8Tex,0
W839558_GSM3496350_AB2905_Tumo,0,1629.0,625,3,3,CD4Tconv,1.0945560605446019,65,1,8,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC0036822_GSM3496375_AB3091_T,0,1657.0,706,2,2,B,4.4137903050582095,90,1,29,B,B,B,0
W872360_GSM3496367_AB2990_Tumo,0,2314.0,882,4,4,Mono/Macro,5.045165456293893,82,1,12,Mono/Macro,Mono/Macro,Monocyte,0
W542961_GSM3496292_AB2096_Tumo,0,1343.0,630,0,0,CD8Tex,3.0066744286892493,7,1,14,CD8Tex,CD8Tex,CD8Tex,0
WMC251096_GSM3496409_AB4029_Tu,0,2735.0,899,4,4,Mono/Macro,5.045165456293893,124,1,18,Mono/Macro,Mono/Macro,Monocyte,0
W687839_GSM3496316_AB2502_Tumo,0,2520.0,1124,9,9,TMKI67,2.1419943291597425,31,1,6,TMKI67,TMKI67,TMKI67,0
W543653_GSM3496294_AB2098_Tumo,0,990.0,604,8,8,CD8Tex,2.3728707457939557,9,1,2,CD8Tex,CD8Tex,CD8Tex,0
W872292_GSM3496367_AB2990_Tumo,0,2750.0,916,11,11,pDC,2.9395231999772227,82,1,12,pDC,DC,DC,0
W543188_GSM3496293_AB2097_Tumo,0,2778.0,1213,5,5,Mono/Macro,3.5403363819401705,8,1,14,Mono/Macro,Mono/Macro,M1,0
W714211_GSM3496341_AB2570_Tumo,0,2790.0,921,4,4,Mono/Macro,5.045165456293893,56,1,4,Mono/Macro,Mono/Macro,Monocyte,0
WMC251525_GSM3496410_AB4030_Tu,0,2049.0,841,13,13,B,1.9443252866230427,125,1,18,B,pDC,pDC,0
WMC289165_GSM3496420_AB4128_Tu,0,1876.0,755,13,13,B,1.9443252866230427,135,1,25,B,pDC,pDC,0
WMC0110085_GSM3496389_AB3282_T,0,1477.0,546,9,9,TMKI67,2.1419943291597425,104,1,13,TMKI67,TMKI67,TMKI67,0
WMC624759_GSM3496459_AB5011_Tu,0,2087.0,749,0,0,CD8Tex,3.0066744286892493,174,1,22,CD8Tex,CD8Tex,CD8Tex,0
W691455_GSM3496325_AB2511_Tumo,0,4914.0,1680,1,1,CD8Tex,4.089338694095589,40,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC331775_GSM3496446_AB4239_Tu,0,1459.0,629,5,5,Mono/Macro,3.5403363819401705,161,1,26,Mono/Macro,Mono/Macro,M1,0
WMC287290_GSM3496415_AB4123_Tu,0,1619.0,624,0,0,CD8Tex,3.0066744286892493,130,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC0110544_GSM3496390_AB3283_T,0,2217.0,756,3,3,CD4Tconv,1.0945560605446019,105,1,13,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC783152_GSM3496478_AB5424_PB,0,3018.0,504,3,3,CD4Tconv,1.0945560605446019,193,0,9,CD4Tconv,CD4Tconv,CD4Tnaive,0
W545414_GSM3496299_AB2103_Tumo,0,2620.0,1200,4,4,Mono/Macro,5.045165456293893,14,1,2,Mono/Macro,Mono/Macro,Monocyte,0
W685884_GSM3496311_AB2497_Tumo,0,3438.0,1197,0,0,CD8Tex,3.0066744286892493,26,1,6,CD8Tex,CD8Tex,CD8Tex,0
W843059_GSM3496359_AB2914_Tumo,0,1549.0,567,7,7,Mono/Macro,4.5137206227938425,74,1,28,Mono/Macro,Mono/Macro,Monocyte,0
W705837_GSM3496339_AB2549_Tumo,0,3536.0,845,2,2,B,4.4137903050582095,54,1,6,B,B,B,0
WMC149345_GSM3496396_AB3755_Tu,0,2066.0,887,17,17,Fibroblasts,0.911109777825356,111,1,16,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC288561_GSM3496419_AB4127_Tu,0,1550.0,588,2,2,B,4.4137903050582095,134,1,25,B,B,B,0
WMC0107963_GSM3496383_AB3276_T,0,3024.0,782,6,6,CD8Tex,3.0350785138802134,98,1,0,CD8Tex,CD8Tex,CD8Tex,0
W841636_GSM3496355_AB2910_Tumo,0,1504.0,564,7,7,Mono/Macro,4.5137206227938425,70,1,28,Mono/Macro,Mono/Macro,Monocyte,0
W703439_GSM3496337_AB2542_Tumo,0,2661.0,1035,6,6,CD8Tex,3.0350785138802134,52,1,4,CD8Tex,CD8Tex,CD8Tex,0
W844026_GSM3496361_AB2916_Tumo,0,5957.0,1714,10,10,TMKI67,3.9990709402858386,76,1,12,TMKI67,TMKI67,TMKI67,0
WMC290518_GSM3496424_AB4132_Tu,0,2530.0,799,2,2,B,4.4137903050582095,139,1,25,B,B,B,0
WMC329708_GSM3496441_AB4234_Tu,0,3215.0,1354,5,5,Mono/Macro,3.5403363819401705,156,1,26,Mono/Macro,Mono/Macro,M1,0
W462136_GSM3496285_AB1889_Tumo,0,1862.0,811,1,1,CD8Tex,4.089338694095589,0,1,14,CD8Tex,CD8Tex,CD8Tex,0
WMC327929_GSM3496436_AB4229_Tu,0,1255.0,511,6,6,CD8Tex,3.0350785138802134,151,1,26,CD8Tex,CD8Tex,CD8Tex,0
W872101_GSM3496367_AB2990_Tumo,0,2064.0,703,18,18,Mono/Macro,1.7507389384025052,82,1,12,Mono/Macro,Mono/Macro,Monocyte,0
WMC330052_GSM3496442_AB4235_Tu,0,2142.0,741,0,0,CD8Tex,3.0066744286892493,157,1,26,CD8Tex,CD8Tex,CD8Tex,0
W851444_GSM3496365_AB2936_Tumo,0,4669.0,1295,18,18,Mono/Macro,1.7507389384025052,80,1,12,Mono/Macro,Mono/Macro,Monocyte,0
WMC627374_GSM3496466_AB5018_Tu,0,1886.0,737,1,1,CD8Tex,4.089338694095589,181,1,22,CD8Tex,CD8Tex,CD8Tex,0
WMC250846_GSM3496408_AB4028_Tu,0,1266.0,530,1,1,CD8Tex,4.089338694095589,123,1,18,CD8Tex,CD8Tex,CD8Tex,0
WMC329149_GSM3496439_AB4232_Tu,0,4246.0,1679,5,5,Mono/Macro,3.5403363819401705,154,1,26,Mono/Macro,Mono/Macro,M1,0
W840494_GSM3496352_AB2907_Tumo,0,2354.0,964,6,6,CD8Tex,3.0350785138802134,67,1,28,CD8Tex,CD8Tex,CD8Tex,0
WMC287537_GSM3496416_AB4124_Tu,0,2226.0,866,0,0,CD8Tex,3.0066744286892493,131,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC379939_GSM3496453_AB4365_PB,0,3829.0,1057,4,4,Mono/Macro,5.045165456293893,168,0,5,Mono/Macro,Mono/Macro,Monocyte,0
WMC138063_GSM3496395_AB3726_Tu,0,5345.0,1518,18,18,Mono/Macro,1.7507389384025052,110,1,16,Mono/Macro,Mono/Macro,Monocyte,0
WMC329364_GSM3496440_AB4233_Tu,0,1630.0,759,5,5,Mono/Macro,3.5403363819401705,155,1,26,Mono/Macro,Mono/Macro,M1,0
WMC330803_GSM3496444_AB4237_Tu,0,1765.0,630,14,14,CD8T,1.0823108009977958,159,1,26,CD8T,CD8Tex,CD8Tex,0
W703052_GSM3496336_AB2541_Tumo,0,3358.0,1292,6,6,CD8Tex,3.0350785138802134,51,1,4,CD8Tex,CD8Tex,CD8Tex,0
WMC331495_GSM3496445_AB4238_Tu,0,3323.0,1116,5,5,Mono/Macro,3.5403363819401705,160,1,26,Mono/Macro,Mono/Macro,M1,0
WMC624241_GSM3496458_AB5010_Tu,0,3749.0,1193,9,9,TMKI67,2.1419943291597425,173,1,22,TMKI67,TMKI67,TMKI67,0
WMC291329_GSM3496426_AB4134_Tu,0,1300.0,579,0,0,CD8Tex,3.0066744286892493,141,1,17,CD8Tex,CD8Tex,CD8Tex,0
W544941_GSM3496298_AB2102_Tumo,0,1470.0,638,3,3,CD4Tconv,1.0945560605446019,13,1,2,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC218774_GSM3496397_AB3937_Tu,0,2006.0,761,16,16,Fibroblasts,0.5163241565316956,112,1,19,Fibroblasts,Fibroblasts,Fibroblasts,1
WMC287819_GSM3496417_AB4125_Tu,0,7991.0,2188,11,11,pDC,2.9395231999772227,132,1,25,pDC,DC,DC,0
W684731_GSM3496308_AB2494_Tumo,0,2026.0,641,2,2,B,4.4137903050582095,23,1,6,B,B,B,0
WMC291871_GSM3496427_AB4135_Tu,0,1578.0,632,10,10,TMKI67,3.9990709402858386,142,1,17,TMKI67,TMKI67,TMKI67,0
W693939_GSM3496332_AB2518_Tumo,0,1518.0,715,6,6,CD8Tex,3.0350785138802134,47,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0035263_GSM3496371_AB3087_T,0,2846.0,1237,10,10,TMKI67,3.9990709402858386,86,1,29,TMKI67,TMKI67,TMKI67,0
WMC626323_GSM3496463_AB5015_Tu,0,1441.0,509,1,1,CD8Tex,4.089338694095589,178,1,22,CD8Tex,CD8Tex,CD8Tex,0
W545300_GSM3496299_AB2103_Tumo,0,1080.0,524,4,4,Mono/Macro,5.045165456293893,14,1,2,Mono/Macro,Mono/Macro,Monocyte,0
WMC0110840_GSM3496391_AB3284_T,0,1294.0,549,0,0,CD8Tex,3.0066744286892493,106,1,13,CD8Tex,CD8Tex,CD8Tex,0
WMC251302_GSM3496410_AB4030_Tu,0,1257.0,509,2,2,B,4.4137903050582095,125,1,18,B,B,B,0
WMC808871_GSM3496485_AB5491_PB,0,1434.0,506,3,3,CD4Tconv,1.0945560605446019,200,0,21,CD4Tconv,CD4Tconv,CD4Tnaive,0
W687582_GSM3496315_AB2501_Tumo,0,1652.0,650,2,2,B,4.4137903050582095,30,1,6,B,B,B,0
WMC137921_GSM3496394_AB3725_Tu,0,6191.0,1759,11,11,pDC,2.9395231999772227,109,1,16,pDC,DC,DC,0
W692766_GSM3496329_AB2515_Tumo,0,4534.0,1465,6,6,CD8Tex,3.0350785138802134,44,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC290924_GSM3496425_AB4133_Tu,0,1861.0,902,0,0,CD8Tex,3.0066744286892493,140,1,25,CD8Tex,CD8Tex,CD8Tex,0
WMC0106946_GSM3496381_AB3274_T,0,1722.0,624,3,3,CD4Tconv,1.0945560605446019,96,1,27,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC290723_GSM3496424_AB4132_Tu,0,5133.0,1669,7,7,Mono/Macro,4.5137206227938425,139,1,25,Mono/Macro,Mono/Macro,Monocyte,0
WMC696003_GSM3496475_AB5197_Tu,0,1716.0,514,1,1,CD8Tex,4.089338694095589,190,1,23,CD8Tex,CD8Tex,CD8Tex,0
WMC137967_GSM3496394_AB3725_Tu,0,2002.0,621,4,4,Mono/Macro,5.045165456293893,109,1,16,Mono/Macro,Mono/Macro,Monocyte,0
WMC252135_GSM3496412_AB4032_Tu,0,3429.0,820,11,11,pDC,2.9395231999772227,127,1,18,pDC,DC,DC,0
WMC287455_GSM3496416_AB4124_Tu,0,1682.0,562,0,0,CD8Tex,3.0066744286892493,131,1,25,CD8Tex,CD8Tex,CD8Tex,0
W695378_GSM3496335_AB2521_Tumo,0,1158.0,511,1,1,CD8Tex,4.089338694095589,50,1,24,CD8Tex,CD8Tex,CD8Tex,0
WMC0036997_GSM3496376_AB3092_T,0,1035.0,561,2,2,B,4.4137903050582095,91,1,29,B,B,B,0
W702887_GSM3496336_AB2541_Tumo,0,2019.0,839,0,0,CD8Tex,3.0066744286892493,51,1,4,CD8Tex,CD8Tex,CD8Tex,0
W843527_GSM3496360_AB2915_Tumo,0,1336.0,586,8,8,CD8Tex,2.3728707457939557,75,1,12,CD8Tex,CD8Tex,CD8Tex,0
W839881_GSM3496351_AB2906_Tumo,0,1243.0,506,3,3,CD4Tconv,1.0945560605446019,66,1,28,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC222385_GSM3496406_AB3946_Tu,0,2432.0,991,11,11,pDC,2.9395231999772227,121,1,1,pDC,DC,DC,0
W685978_GSM3496311_AB2497_Tumo,0,1542.0,728,3,3,CD4Tconv,1.0945560605446019,26,1,6,CD4Tconv,CD4Tconv,CD4Tnaive,0
WMC135185_GSM3496392_AB3718_Tu,0,1911.0,622,3,3,CD4Tconv,1.0945560605446019,107,1,15,CD4Tconv,CD4Tconv,CD4Tnaive,0
