,Cell_Type_Counts,Cluster_1,Cluster_2
Fibroblasts,87,10.344827586206897,89.65517241379311
Tfh,457,55.57986870897156,44.42013129102845
B,641,49.453978159126365,50.546021840873635
CD4Tnaive,604,77.64900662251655,22.350993377483444
CD8Tex,1001,40.05994005994006,59.94005994005994
Monocyte,221,6.787330316742081,93.21266968325791
TMKI67,92,77.17391304347827,22.82608695652174
Th1,84,19.047619047619047,80.95238095238095
Malignant,1365,65.49450549450549,34.505494505494504
Endothelial,91,6.593406593406594,93.4065934065934
