,0,1
0,HMOX1,RAB32
1,EEF1B2,RPS13
2,HCK,LILRB2
3,RPLP2,RPS2
4,RPS25,UBA52
5,NCF2,VCAN
6,IFI30,ZFAND5
7,CD300C,NPC2
8,SYK,TGFBI
9,CD86,ADM
10,RPL14,RPL34
11,RPL13,RPS2
12,LRRC25,LST1
13,LILRB2,SKAP2
14,GLUL,TMEM176B
15,PLXDC2,HLA-DRB1
16,CYBB,CSTA
17,LY86,APLP2
18,HLA-DRA,RASSF4
19,SLC43A2,C5AR1
20,CD74,CLEC7A
21,FCGRT,TYROBP
22,JDP2,CD68
23,C1QB,ADAP2
24,HCK,SYNGR2
25,RPS15A,RPL8
26,PILRA,HCK
27,CST3,KYNU
28,RPS23,RPL11
29,DOK3,TIMP2
30,C1QA,SKAP2
31,SLC7A7,SPI1
32,SRGN,FTL
33,LYZ,SNX10
34,CD302,HLA-DMA
35,MPP1,GRN
36,RPS28,RPS2
37,CYBB,KIAA0930
38,TGFBI,CYBB
39,HLA-DPB1,SECTM1
40,RPS2,RPSA
41,IGSF6,DMXL2
42,FTL,DUSP1
43,FAM20A,CD68
44,C1QB,C19orf38
45,TTYH3,LY86
46,NR4A1,ATF3
47,AIF1,PYCARD
48,FBP1,PLAUR
49,CFD,HLA-DPA1
50,LILRB4,CXCL16
51,BTK,SMPDL3A
52,LYZ,SORT1
53,RPL19,RPL17
54,FBP1,MS4A6A
55,RPL4,RPL3
56,RPS6,CD3E
57,CXCL16,TNFSF13
58,RAB31,PLBD1
59,RPS29,RPL35
60,APLP2,HLA-DRA
61,SAT1,CYBA
62,CST3,H2AFY
63,FTL,ALDH2
64,SLC8A1,C19orf38
65,NCF2,HLA-DRB1
66,RPS16,RPS9
67,TNFAIP2,SLC15A3
68,TUBA1B,CSTB
69,PILRA,TLR2
70,CEBPB,GNAI2
71,CTSC,HLA-DPA1
72,FBP1,AIF1
73,HLA-DMB,HCK
74,LYZ,HLA-DMB
75,SAT1,LST1
76,MAFB,ALOX5
77,MS4A6A,CLEC4A
78,SKAP2,FTL
79,C5AR1,PLXDC2
80,PLXNC1,MAFB
81,RPL27,RPL32
82,HLA-DRB1,ADAP2
83,HLA-DPA1,CD63
84,MPEG1,CCDC88A
85,SLC8A1,CD74
86,GRN,MPEG1
87,GNAI2,LST1
88,GZMA,PRF1
89,RPS15,RPL26
90,HLA-DQB1,FCN1
91,HMOX1,NCF2
92,PLXDC2,HMOX1
93,ATP1B3,S100A11
94,FCGR2A,ATP6V1B2
95,HCK,CD68
96,PLXDC2,LY86
97,HCK,GRN
98,RPL9,RPS27
99,RPL6,RPL34
100,RNF130,TGFBI
101,RHOG,S100A11
102,C5AR1,DOK3
103,RPL35,RPS13
104,RPL12,RPL3
105,RPS10,RPS21
106,FGL2,SLC8A1
107,SAMD3,GZMA
108,RPLP1,RPL32
109,C5AR1,ATP6V0B
110,MARCH1,LST1
111,FCER1G,UBC
112,HLA-DMB,PILRA
113,IFI44L,MX1
114,RPS4X,RPL23A
115,RPSA,RPL26
116,LGALS1,LDHA
117,LYZ,TMEM176B
118,CTSS,FGL2
119,RPL32,RPL17
120,RPL24,RPL10A
121,HLA-DQA1,HLA-DPA1
122,RAB31,FCGR2A
123,HLA-DMA,MEF2C
124,MPEG1,TIMP2
125,ANXA2,IGSF6
126,CFD,TYROBP
127,HLA-DRB1,CD74
128,FCER1G,C1QB
129,FCGR2A,SMCO4
130,CSF2RA,FGL2
131,TYROBP,CD302
132,HLA-B,LY6E
133,APOBEC3G,CCL5
134,RPL23A,RPS8
135,RPS29,C12orf57
136,TYMP,MYOF
137,RPSA,RPS29
138,TIGIT,SRGN
139,RPS15A,RPS24
140,ADAP2,SERPINA1
141,MEF2C,FCER1G
142,TLR2,ADGRE2
143,CTSC,TYROBP
144,SPI1,SCIMP
145,EEF1B2,RPL37
146,SPI1,LILRB2
147,FCGR3A,ADAP2
148,LDHB,RPL35A
149,RPL18,RPLP1
150,LTB,RPS21
151,RPS9,RPS2
152,NPC2,TIMP2
153,CEBPD,ANXA2
154,RPL41,RPL30
155,MS4A7,ETS2
156,RPL18,RPS4X
157,RPS3,RPL27A
158,TIMP2,HMOX1
159,GRN,CD86
160,TIMP2,LY86
161,RPS7,RPL29
162,RPL10,RPL32
163,LGALS1,CAPG
164,PLEK,PLXDC2
165,S100A8,CTSB
166,RPS7,RPS5
167,ZFHX3,CST3
168,RPS13,RPL37
169,FCER1G,RNF130
170,CD14,CYP27A1
171,MS4A4A,CD68
172,SERPINA1,IFI30
173,TGFBI,UBE2E2
174,RPS4X,RPL18A
175,DUSP6,C5AR1
176,HMOX1,HLA-DPB1
177,MNDA,PLXDC2
178,RAB31,HLA-DPA1
179,RPS27,RPL12
180,RPL27,RPL19
181,CTSD,TYROBP
182,MYL6,ACTB
183,CYBB,LILRB4
184,CTSS,SPI1
185,IRF8,HLA-DPA1
186,FGD4,MS4A7
187,MS4A7,SLC31A2
188,RPS10,RPL32
189,RPS27,EEF1B2
190,IGSF6,NPC2
191,CALM2,SRGN
192,RPL18A,RPL12
193,TNFAIP2,AIF1
194,PRAM1,HRH2
195,HSBP1,C1QA
196,LILRA6,CST3
197,C5AR1,EMILIN2
198,APLP2,CEBPB
199,RPL5,RPL15
200,CD74,MAFB
201,DSE,TYROBP
202,RPL37,RPLP1
203,RPL18A,EEF1B2
204,PLXNB2,HLA-DPA1
205,C1QB,PSAP
206,ALDH2,CPVL
207,APOC1,PLTP
208,RPL37,RPS4X
209,C1QA,SLC8A1
210,TLR2,NPC2
211,MS4A6A,FBP1
212,SYNGR2,HLA-DMA
213,LY96,TYROBP
214,RPL22,RPL36
215,MS4A7,HLA-DPA1
216,TIMP2,METTL7A
217,MS4A6A,DUSP6
218,METRNL,MPEG1
219,FGL2,FES
220,EMILIN2,CST3
221,MS4A7,GNB4
222,CXCL16,CTSZ
223,SRGN,ZEB2
224,GNB4,TIMP2
225,SLC8A1,PSAP
226,LYZ,CTSH
227,MGAT1,SAT1
228,RPS21,RPL32
229,C1QA,GLA
230,LTB,RPL32
231,RPL18,RPL4
232,RPSA,RPS14
233,RPL9,RPLP2
234,TPT1,RPL22
235,MPEG1,CLEC7A
236,SPI1,CD68
237,SPI1,GRN
238,RPS19,TOMM7
239,NINJ1,FCER1G
240,LACTB,MAFB
