,0,1
0,LILRB4,FBP1
1,HLA-DMB,TCL1A
2,RPL28,TPT1
3,HLA-DMB,AFF3
4,RPL19,CCR7
5,FCN1,FGL2
6,EEF2,EIF3E
7,CD74,PNOC
8,GRN,ALDH2
9,ASF1B,TUBB
10,SAPCD2,CCNA2
11,CRIP1,COTL1
12,UBA52,RPS8
13,RARRES3,NKG7
14,HMGB2,SPC24
15,RPL8,RPS24
16,IRF8,WDFY4
17,FCN1,LGALS2
18,DEPDC1,ASPM
19,RPL10,RPS15
20,UBE2C,KIF14
21,EEF1A1,RPS25
22,IFI30,NPC2
23,PLK1,FOXM1
24,LPXN,PFN1
25,ORC6,TK1
26,CDK1,MYBL2
27,PPIA,GAPDH
28,HAVCR2,APOBEC3G
29,ISG15,IFI44
30,KIF23,TICRR
31,PMP22,SERPING1
32,MKI67,GGH
33,FOXM1,TK1
34,RPS12,RPS25
35,SH3BGRL3,CCL5
36,KIF15,CKAP2L
37,TCL1A,GAPT
38,CST7,LCP1
39,HLA-E,ARHGDIB
40,RPL8,FAU
41,AIF1,NCF2
42,DMXL2,MS4A7
43,CDCA8,ANLN
44,SHCBP1,KIF4A
45,TPI1,FKBP1A
46,LILRA6,SPI1
47,RPSA,RPL36
48,NRM,MKI67
49,PKMYT1,H2AFX
50,SERPING1,TMEM176B
51,CDCA2,MND1
52,KIF15,DSCC1
53,S100A6,ARPC1B
54,KIFC1,NUDT1
55,CST7,ARPC5L
56,PKMYT1,TPX2
57,IFITM1,CRIP1
58,RPS21,RPL19
59,MAD2L1,KIF20A
60,ESCO2,LMNB1
61,CST3,VCAN
62,RPL26,RPS7
63,DHFR,POC1A
64,GINS1,CDK1
65,RPL19,RPL6
66,RPS23,RPS9
67,BANK1,DENND5B
68,CFD,TMEM176B
69,JUN,JUNB
70,LY86,CYBB
71,SPC24,RACGAP1
72,IGSF6,FCGR2A
73,SLC31A2,CD14
74,HMGB2,RAD54L
75,ANLN,TUBA1B
76,SERPINA1,NPC2
77,UBE2C,UBE2S
78,RPL35,RPL10A
79,CEP55,SPAG5
80,ADGRE2,FCN1
81,GZMA,ANXA6
82,KIF11,TYMS
83,PRC1,ASF1B
84,KIF15,E2F2
85,CD79A,HLA-DQA1
86,HCLS1,PTPRC
87,IL32,PTPRC
88,NCF2,CTSH
89,IL1RN,MS4A7
90,CD79B,CD180
91,CLEC7A,SLC7A7
92,DAPK1,TMEM176B
93,RGS1,TMSB4X
94,CLEC4A,CLEC10A
95,TOX,IL2RB
96,RPL32,RPL35
97,PBK,CLSPN
98,S100A4,GZMA
99,UBE2T,TUBA1B
100,BRCA1,CENPF
101,CDC20,MAD2L1
102,PFN1,SH3BGRL3
103,TPX2,TUBB4B
104,HCK,FGL2
105,RNF213,GBP5
106,HLA-B,UBC
107,PRAM1,FGL2
108,TCF19,HELLS
109,FKBP1A,ACTG1
110,FGL2,LST1
111,RPSA,RPL3
112,HLA-DQB1,BLK
113,ERCC6L,HMMR
114,RPL39,RPL19
115,HCK,LGALS2
116,IGSF6,HLA-DQB2
117,DENND5B,BANK1
118,B2M,HAVCR2
119,NACA,RPS23
120,IL2RG,CD2
121,NCKAP1L,CD74
122,IDH2,ASF1B
123,RPL6,RPL4
124,NPC2,TMEM176B
125,RBM47,LILRB4
126,ARPC2,ACTB
127,EEF1A1,RPS18
128,MEF2C,TLR10
129,PAICS,ENO1
130,RPL30,TCF7
131,ASF1B,E2F1
132,NUSAP1,CDC20
133,KIF2C,CDC20
134,SMC4,MKI67
135,MS4A7,TFEC
136,TREM1,LILRB2
137,RPL3,LTB
138,LILRB4,TLR2
139,KIFC1,ANLN
140,MKI67,CIT
141,TPP1,ANXA5
142,CD86,SERPINA1
143,EXO1,NUSAP1
144,CDCA5,PLK4
145,BUB1B,ANLN
146,CHEK1,CDC6
147,RPS25,RPL35A
148,TCF4,SYK
149,KIF14,CCNA2
150,RPL37,RPL18
151,CDA,S100A9
152,RPS15A,RPS10
153,CD1C,BANK1
154,STMN1,PHGDH
155,RPS4X,SELL
156,RPL27A,RPS3
157,RPL13,MS4A1
158,FCN1,CD163
159,GLUL,TMEM176A
160,AURKB,ZWINT
161,IL32,LAG3
162,ASF1B,UBE2T
163,ZAP70,SH3BGRL3
164,ARHGDIB,PSMB9
165,CBX3,TYMS
166,HLA-A,TNFRSF9
167,RGS1,ITM2A
168,TNFRSF25,IL7R
169,HLA-DRB1,SYNGR2
170,CSF3R,PLXDC2
171,MS4A7,MS4A4A
172,CD93,PILRA
173,SPI1,CSF3R
174,ATAD2,RRM2
175,RPS3,RPL14
