,CD8Tex,DC,B,pDC,Plasma,CD4Tnaive,M1,Fibroblasts,TMKI67,Monocyte
CD8Tex,4.958991092163514,4.802902148448751,,4.384226715702726,-5.307246324529829,-4.962481146990415,5.128551915142795,4.134748703899881,1.4308540847205304,5.387721351907898
DC,4.802902148448751,4.175449118272131,-2.136786553820223,5.187767389252444,-4.5231798945812995,3.43306544424685,5.232161080277232,5.298126106593368,,5.338888470726697
B,,-2.136786553820223,-5.256147805737904,2.6842235403788655,-5.374846420817413,-5.110172271267197,2.8389680398379022,-4.451305265313473,-5.099955569800913,4.726587980211467
pDC,4.384226715702726,5.187767389252444,2.6842235403788655,5.304921322870083,-3.374565624307078,,5.311745748502384,5.319997391087091,-1.9334886830725062,5.242614346652836
Plasma,-5.307246324529829,-4.5231798945812995,-5.374846420817413,-3.374565624307078,-5.220118700773008,-5.365848214912417,4.4996373196274995,-5.036442548100042,-5.310089181224461,1.3762437094964313
CD4Tnaive,-4.962481146990415,3.43306544424685,-5.110172271267197,,-5.365848214912417,-5.182643830244979,5.016532513379499,,-5.218509869152378,5.162787623585097
M1,5.128551915142795,5.232161080277232,2.8389680398379022,5.311745748502384,4.4996373196274995,5.016532513379499,5.324496805554863,5.2946689616842155,4.738750252048494,5.180567841525244
Fibroblasts,4.134748703899881,5.298126106593368,-4.451305265313473,5.319997391087091,-5.036442548100042,,5.2946689616842155,5.344621239031569,-3.0119767180636314,5.393553345574341
TMKI67,1.4308540847205304,,-5.099955569800913,-1.9334886830725062,-5.310089181224461,-5.218509869152378,4.738750252048494,-3.0119767180636314,-4.00553111742273,5.056084224480239
Monocyte,5.387721351907898,5.338888470726697,4.726587980211467,5.242614346652836,1.3762437094964313,5.162787623585097,5.180567841525244,5.393553345574341,5.056084224480239,5.32455080493062
