,CD8Tex,CD8Teff,CD8Tem,CD8Tcm,B,Treg,CD4Tnaive,M1,CD8Tnaive,Th17,NK
CD8Tex,5.2441956192857635,-5.063754121376919,-3.9228661014052832,-4.609074285275083,5.173733763592833,5.29812286635115,-5.0185259701145135,5.262752123477937,1.9721957737805331,-3.4846477537632032,-1.6366276277362066
CD8Teff,-5.063754121376919,-3.2868864757657383,-4.488078052703213,-5.045416991938868,-5.271855806554814,-5.182348347574131,-5.345712975333512,,-4.827504250122731,-5.19815186633617,-5.023459369390387
CD8Tem,-3.9228661014052832,-4.488078052703213,-4.048034121493066,-4.5734360590675065,-4.995740254234418,-4.592123263715247,-5.037360305494378,1.9410592442463703,-4.769457279958792,-4.962459282528308,-4.443273218359189
CD8Tcm,-4.609074285275083,-5.045416991938868,-4.5734360590675065,-4.802319721834799,-4.749976018549084,-5.142476533179262,-5.269246874222149,3.5980335119548923,-5.0205511654829085,-5.121774150814888,-4.974834626414011
B,5.173733763592833,-5.271855806554814,-4.995740254234418,-4.749976018549084,,5.168219166578019,-5.191337304565268,5.251425299032828,3.8287846346170156,-4.340383773925262,-4.145620720503736
Treg,5.29812286635115,-5.182348347574131,-4.592123263715247,-5.142476533179262,5.168219166578019,4.313758828851156,-4.595374035554437,5.293216061510888,3.8981250754020094,-1.4720132637791068,1.6184126462229593
CD4Tnaive,-5.0185259701145135,-5.345712975333512,-5.037360305494378,-5.269246874222149,-5.191337304565268,-4.595374035554437,-5.113237913562731,-1.643071695065184,-5.007697927773667,-5.139127747293458,-5.225069569109458
M1,5.262752123477937,,1.9410592442463703,3.5980335119548923,5.251425299032828,5.293216061510888,-1.643071695065184,5.270275828567708,5.133512037110135,,3.618698777925104
CD8Tnaive,1.9721957737805331,-4.827504250122731,-4.769457279958792,-5.0205511654829085,3.8287846346170156,3.8981250754020094,-5.007697927773667,5.133512037110135,-1.9513988078691908,-3.934474158728968,-4.22225757173687
Th17,-3.4846477537632032,-5.19815186633617,-4.962459282528308,-5.121774150814888,-4.340383773925262,-1.4720132637791068,-5.139127747293458,,-3.934474158728968,-4.317647283812762,-4.87626854348738
NK,-1.6366276277362066,-5.023459369390387,-4.443273218359189,-4.974834626414011,-4.145620720503736,1.6184126462229593,-5.225069569109458,3.618698777925104,-4.22225757173687,-4.87626854348738,-4.249357079330658
