,CD8Tex,Th1,Tfh,B,Endothelial,CD4Tnaive,Fibroblasts,TMKI67,Malignant,Monocyte
CD8Tex,5.013208457621875,3.1220919917204997,3.1496189694557515,4.179065124356699,3.4309241346679036,1.946060511086071,,4.015264544682146,,3.253836119692088
Th1,3.1220919917204997,3.4804055706126147,3.4319798894738827,1.34674385040451,4.645536509681024,3.449278723147659,,,3.971954866870645,3.8795063851934986
Tfh,3.1496189694557515,3.4319798894738827,-2.1287146780533495,1.4325642388743558,3.903175347275573,-3.54795333030077,,,-1.9538471009911094,3.652794570469798
B,4.179065124356699,1.34674385040451,1.4325642388743558,2.2644008599450016,1.7732115709376841,,-1.7033890175994275,,-4.769489823484317,3.618320349303374
Endothelial,3.4309241346679036,4.645536509681024,3.903175347275573,1.7732115709376841,3.187768626487697,3.69286684843499,2.2592068048431764,1.3470465185099503,,3.9401927190743797
CD4Tnaive,1.946060511086071,3.449278723147659,-3.54795333030077,,3.69286684843499,-4.03002443260852,,-2.8490494240458903,-3.2372403837109336,3.5819280083859266
Fibroblasts,,,,-1.7033890175994275,2.2592068048431764,,,-2.585371244559273,,2.951697496376538
TMKI67,4.015264544682146,,,,1.3470465185099503,-2.8490494240458903,-2.585371244559273,,-3.1035817446712204,2.1742548300040188
Malignant,,3.971954866870645,-1.9538471009911094,-4.769489823484317,,-3.2372403837109336,,-3.1035817446712204,4.0037199084561745,1.3968188827997277
Monocyte,3.253836119692088,3.8795063851934986,3.652794570469798,3.618320349303374,3.9401927190743797,3.5819280083859266,2.951697496376538,2.1742548300040188,1.3968188827997277,4.422676430075557
