,CD8Teff,CD8Tex,CD8Tem,CD8Tcm,B,Treg,CD4Tnaive,M1,CD8Tnaive,Th17,NK
CD8Teff,-4.532887990864565,5.281970585418949,2.1565019828059144,-1.6399845596449962,,-3.7936083286796425,-5.345287933257724,3.941263691413169,3.6420243220338424,-4.155708059617723,-2.848489635715281
CD8Tex,5.281970585418949,5.386450804144831,5.109994131939349,5.320745371481419,5.164345205691162,5.362173245901307,2.361424186798004,4.936934993714956,5.347901291110116,5.101722681851305,5.214048738535711
CD8Tem,2.1565019828059144,5.109994131939349,4.047178071622346,3.716009346841397,,,-4.948608261112601,3.841130158470153,4.294599803351749,,
CD8Tcm,-1.6399845596449962,5.320745371481419,3.716009346841397,3.0747888869388142,2.7172227913920755,1.9212913693423483,-5.272689304082676,4.729967298343765,3.5780726950546393,-3.748682572695509,
B,,5.164345205691162,,2.7172227913920755,3.0206660975455795,4.154814624677987,-2.358114645377754,3.825037643436945,4.867848900140526,2.0043428691083167,3.500184078159891
Treg,-3.7936083286796425,5.362173245901307,,1.9212913693423483,4.154814624677987,3.9309701132094337,-5.017376841518468,4.085358014247212,3.019712774156897,-4.298272124773896,1.4844874263665053
CD4Tnaive,-5.345287933257724,2.361424186798004,-4.948608261112601,-5.272689304082676,-2.358114645377754,-5.017376841518468,-5.282115726771957,3.0738546691098088,-4.965583435413288,-5.237408738364949,-4.8390513092850895
M1,3.941263691413169,4.936934993714956,3.841130158470153,4.729967298343765,3.825037643436945,4.085358014247212,3.0738546691098088,5.2002223137771315,4.966355837162744,3.6984666653175378,4.406433400870469
CD8Tnaive,3.6420243220338424,5.347901291110116,4.294599803351749,3.5780726950546393,4.867848900140526,3.019712774156897,-4.965583435413288,4.966355837162744,2.880374258497393,,
Th17,-4.155708059617723,5.101722681851305,,-3.748682572695509,2.0043428691083167,-4.298272124773896,-5.237408738364949,3.6984666653175378,,-4.64142905923096,-4.1922089827743365
NK,-2.848489635715281,5.214048738535711,,,3.500184078159891,1.4844874263665053,-4.8390513092850895,4.406433400870469,,-4.1922089827743365,-2.7637575210566108
