,CD8Tex,Th1,Tfh,B,Endothelial,CD4Tnaive,Fibroblasts,TMKI67,Malignant,Monocyte
CD8Tex,,,-3.315663384839708,-4.656550475301292,2.763416590365485,-3.766587126456089,,,-4.879842881513923,5.251008015121389
Th1,,1.8559856658738298,,-1.9998342496233295,4.686722234636414,,4.793644785479637,-1.3495890914923923,4.7451798823074975,4.829430099536005
Tfh,-3.315663384839708,,-2.8364870928446884,-4.578509854356307,3.3097020726677737,-4.577039352622895,2.6276976424746405,,-3.5326592871775513,5.084072099442003
B,-4.656550475301292,-1.9998342496233295,-4.578509854356307,-5.01370937726018,2.5206686061213057,-4.773463941957463,1.335276629886794,-2.710561153456343,-4.616407773351367,1.3026135094062514
Endothelial,2.763416590365485,4.686722234636414,3.3097020726677737,2.5206686061213057,4.720733315375545,2.6651722233432515,5.137754112612797,2.2461718679890703,2.6823109613366674,5.239219891168946
CD4Tnaive,-3.766587126456089,,-4.577039352622895,-4.773463941957463,2.6651722233432515,-3.702927196397573,1.4057833731033675,-2.3381885453620463,-3.9269507446642966,4.864714472034101
Fibroblasts,,4.793644785479637,2.6276976424746405,1.335276629886794,5.137754112612797,1.4057833731033675,4.782263893045593,,4.020563100701266,5.202243283686723
TMKI67,,-1.3495890914923923,,-2.710561153456343,2.2461718679890703,-2.3381885453620463,,-1.669450713650551,-2.1341711922648274,
Malignant,-4.879842881513923,4.7451798823074975,-3.5326592871775513,-4.616407773351367,2.6823109613366674,-3.9269507446642966,4.020563100701266,-2.1341711922648274,-1.8084767206527355,4.9346876559796975
Monocyte,5.251008015121389,4.829430099536005,5.084072099442003,1.3026135094062514,5.239219891168946,4.864714472034101,5.202243283686723,,4.9346876559796975,5.259835433700465
